scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
High Junior Yield (12%),0.04,0.0,18,0.0499727,0.11993448,1.12199336,1114068.0
High Junior Yield (12%),0.04,0.0,19,0.0488839,0.09698736,0.66544752,1086927.6
High Junior Yield (12%),0.04,0.0,20,0.0499062,0.11977488,0.78252716,1097017.55
High Junior Yield (12%),0.04,0.0,21,0.0489894,0.11757456,0.95031492,1104343.45
High Junior Yield (12%),0.04,0.0,22,0.0496594,0.11918256,1.50521292,1132865.55
High Junior Yield (12%),0.04,0.0,23,0.0498931,0.11974344,1.22005708,1118878.85
High Junior Yield (12%),0.04,0.0,24,0.0499776,0.11994624,1.47142868,1131545.45
High Junior Yield (12%),0.04,0.0,25,0.0499755,0.1199412,1.5650764,1136225.4
High Junior Yield (12%),0.04,0.0,26,0.04788945,-0.00038898666666666666,0.60897876,1068702.15
High Junior Yield (12%),0.04,0.0,27,0.0492795,0.1182708,0.8537416,1099851.3
High Junior Yield (12%),0.04,0.0,28,0.04993625,0.119847,1.178175,1116834.8
High Junior Yield (12%),0.04,0.0,29,0.0495583,0.11893992,0.93957944,1104466.6
High Junior Yield (12%),0.04,0.0,30,0.0481895,0.1156548,1.2764816,1119723.9
High Junior Yield (12%),0.04,0.0,31,0.04984985,0.11963964,1.04506848,1110079.25
High Junior Yield (12%),0.04,0.0,32,0.0497088,0.11930112,0.70032884,1092678.65
High Junior Yield (12%),0.04,0.0,33,0.04835745,0.11547421333333334,0.66707016,1089360.6
High Junior Yield (12%),0.04,0.0,34,0.0497447,0.11938728,1.36188796,1125798.25
High Junior Yield (12%),0.04,0.0,35,0.0498664,0.08197536,0.67118952,1085748.9
High Junior Yield (12%),0.04,0.0,36,0.0479322,0.11503728,1.22165696,1116684.2
High Junior Yield (12%),0.04,0.0,37,0.0499873,0.11996952,0.94200364,1105085.45
High Junior Yield (12%),0.04,0.0,38,0.0499103,0.11978472,0.94777204,1105284.55
High Junior Yield (12%),0.04,0.0,39,0.04990185,0.11976444,1.08796808,1112284.55
High Junior Yield (12%),0.04,0.0,40,0.04995515,0.11220002666666666,0.68591952,1091090.1
High Junior Yield (12%),0.04,0.0,41,0.0499133,0.11979192,0.80346544,1098072.7
High Junior Yield (12%),0.04,0.0,42,0.04782745,0.11478588,1.30605316,1120782.5
High Junior Yield (12%),0.04,0.0,43,0.0496892,0.11925408,0.71329256,1093304.1
High Junior Yield (12%),0.04,0.0,44,0.0498603,0.10874672,0.68315904,1090358.2
High Junior Yield (12%),0.04,0.0,45,0.0499744,0.11993856,0.88386792,1102163.7
High Junior Yield (12%),0.04,0.0,46,0.0494267,0.11862408,0.99695156,1107182.55
High Junior Yield (12%),0.04,0.0,47,0.0492785,0.08557173333333333,0.6653298,1085525.05
High Junior Yield (12%),0.04,0.0,48,0.049965,0.094556,0.678105,1088060.65
High Junior Yield (12%),0.04,0.0,49,0.04997285,0.11456050666666667,0.68720688,1091522.7
High Junior Yield (12%),0.04,0.4,0,0.0496665,0.1191996,1.6719372,1141210.0
High Junior Yield (12%),0.04,0.4,1,0.04971285,0.11931084,1.07697288,1111515.55
High Junior Yield (12%),0.04,0.4,2,0.04903565,0.11768556,1.20190192,1116976.45
High Junior Yield (12%),0.04,0.4,3,0.04975045,0.11940108,0.98066156,1106743.6
High Junior Yield (12%),0.04,0.4,4,0.04995805,0.11989932,1.30024124,1122963.4
High Junior Yield (12%),0.04,0.4,5,0.04954005,0.11889612,1.68774384,1141853.65
High Junior Yield (12%),0.04,0.4,6,0.0480937,0.11542488,1.33106816,1122342.1
High Junior Yield (12%),0.04,0.4,7,0.04991815,0.11980356,1.17041792,1116425.95
High Junior Yield (12%),0.04,0.4,8,0.049095,0.117828,1.321821,1123041.25
