scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
Mid-Market DL (£100M),0.02,0.4,35,0.06,0.07027536825,0.7512561375,113118068.74
Mid-Market DL (£100M),0.02,0.4,36,0.06,0.097848925,0.509681044,111253788.94
Mid-Market DL (£100M),0.02,0.4,37,0.06,0.094784425,0.566667576,111762364.26
Mid-Market DL (£100M),0.02,0.4,38,0.06,0.094755305,0.373733014,109832436.24
Mid-Market DL (£100M),0.02,0.4,39,0.06,0.08965955,0.548998444,111483175.44
Mid-Market DL (£100M),0.02,0.4,40,0.06,0.0696848145,0.741413575,113007832.04
Mid-Market DL (£100M),0.02,0.4,41,0.06,0.06957339225,0.4853914755,110445382.6
Mid-Market DL (£100M),0.02,0.4,42,0.06,0.08978223,0.771825784,113713902.44
Mid-Market DL (£100M),0.02,0.4,43,0.06,0.09671631,0.541827348,111552599.68
Mid-Market DL (£100M),0.02,0.4,44,0.06,0.087930865,0.770344692,113662064.22
Mid-Market DL (£100M),0.02,0.4,45,0.06,0.08165619,0.6670457,112503580.8
Mid-Market DL (£100M),0.02,0.4,46,0.06,0.09504757,0.406005422,110161005.62
Mid-Market DL (£100M),0.02,0.4,47,0.06,0.07394018,0.759152144,113270325.04
Mid-Market DL (£100M),0.02,0.4,48,0.06,0.084771015,0.767816812,113573588.42
Mid-Market DL (£100M),0.02,0.4,49,0.06,0.099024285,0.56837959,111864281.6
Mid-Market DL (£100M),0.05,0.4,0,0.06,0.095859815,0.776687852,113884074.82
Mid-Market DL (£100M),0.05,0.4,1,0.06,0.07895047,0.455963806,110338647.46
Mid-Market DL (£100M),0.05,0.4,2,0.06,0.06943671375,0.5500495345,111089229.62
Mid-Market DL (£100M),0.05,0.4,3,0.06,0.094502325,0.585108766,111941134.16
Mid-Market DL (£100M),0.05,0.4,4,0.06,0.09179419,0.630225964,112338143.44
Mid-Market DL (£100M),0.05,0.4,5,0.06,0.08796556,0.297801418,108937325.38
Mid-Market DL (£100M),0.05,0.4,6,0.06,0.07426691,0.759413528,113279473.48
Mid-Market DL (£100M),0.05,0.4,7,0.06,0.089131815,0.36708911,109653527.4
Mid-Market DL (£100M),0.05,0.4,8,0.06,0.06946402575,0.3208820685,108798101.2
Mid-Market DL (£100M),0.05,0.4,9,0.06,0.08363599,0.766908792,113541807.72
Mid-Market DL (£100M),0.05,0.4,10,0.06,0.097572685,0.581074366,111962197.36
Mid-Market DL (£100M),0.05,0.4,11,0.06,0.0700671525,0.285583503,108457178.08
Mid-Market DL (£100M),0.05,0.4,12,0.06,0.06862341075,0.2609920405,108182388.62
Mid-Market DL (£100M),0.05,0.4,13,0.06,0.099500355,0.235642638,108546433.48
Mid-Market DL (£100M),0.05,0.4,14,0.06,0.08954961,0.531189194,111302884.14
Mid-Market DL (£100M),0.05,0.4,15,0.06,0.08199374,0.447864522,110318520.02
Mid-Market DL (£100M),0.05,0.4,16,0.06,0.09646542,0.442962658,110558934.98
Mid-Market DL (£100M),0.05,0.4,17,0.06,0.09586252,0.37917208,109908971.2
Mid-Market DL (£100M),0.05,0.4,18,0.06,0.069798612,0.647767986,112073652.1
Mid-Market DL (£100M),0.05,0.4,19,0.06,0.097836195,0.596407592,112120799.82
Mid-Market DL (£100M),0.05,0.4,20,0.06,0.07806443,0.067431704,106435605.64
Mid-Market DL (£100M),0.05,0.4,21,0.06,0.095024055,0.14152948,107515775.9
Mid-Market DL (£100M),0.05,0.4,22,0.06,0.08908294,0.649364376,112475302.56
Mid-Market DL (£100M),0.05,0.4,23,0.06,0.086630265,0.473809928,110670704.58
Mid-Market DL (£100M),0.05,0.4,24,0.06,0.098862955,0.402419486,110201453.96
Mid-Market DL (£100M),0.05,0.4,25,0.06,0.09078883,0.249320158,108508978.18
Mid-Market DL (£100M),0.05,0.4,26,0.06,0.070263516,0.276390336,108369173.68
Mid-Market DL (£100M),0.05,0.4,27,0.06,0.083423485,0.206347518,107931944.88
Mid-Market DL (£100M),0.05,0.4,28,0.06,0.0994756,0.07033673,106892879.3
Mid-Market DL (£100M),0.05,0.4,29,0.06,0.08805244,0.556044416,111521492.96
Mid-Market DL (£100M),0.05,0.4,30,0.06,0.096289385,0.528842168,111414209.38
Mid-Market DL (£100M),0.05,0.4,31,0.06,0.06937472475,0.1101761825,106689256.32
Mid-Market DL (£100M),0.05,0.4,32,0.06,0.08609162,0.244675574,108368588.14
Mid-Market DL (£100M),0.05,0.4,33,0.06,0.09238229,0.55375265,111585172.3
Mid-Market DL (£100M),0.05,0.4,34,0.06,0.094846575,0.367991702,109776848.52
Mid-Market DL (£100M),0.05,0.4,35,0.06,0.075293345,0.351257026,109218437.16
Mid-Market DL (£100M),0.05,0.4,36,0.06,0.09794572,0.419708768,110356002.08
Mid-Market DL (£100M),0.05,0.4,37,0.06,0.09444327,0.278629668,108875162.08
Mid-Market DL (£100M),0.05,0.4,38,0.06,0.095986275,0.628726712,112406992.62
Mid-Market DL (£100M),0.05,0.4,39,0.06,0.09562685,0.77650148,113877551.8
Mid-Market DL (£100M),0.05,0.4,40,0.06,0.099924395,0.552246918,111720957.08
Mid-Market DL (£100M),0.05,0.4,41,0.06,0.0700747695,0.618883835,111790333.74
Mid-Market DL (£100M),0.05,0.4,42,0.06,0.08155701,0.238223084,108213371.04
Mid-Market DL (£100M),0.05,0.4,43,0.06,0.091814845,0.061240948,106648706.38
Mid-Market DL (£100M),0.05,0.4,44,0.06,0.085702075,0.415255172,110066593.22
Mid-Market DL (£100M),0.05,0.4,45,0.06,0.092258745,0.773806996,113783244.86
Mid-Market DL (£100M),0.05,0.4,46,0.06,0.093087665,0.490397822,110965731.52
Mid-Market DL (£100M),0.05,0.4,47,0.06,0.073482165,0.585293842,111522581.72
Mid-Market DL (£100M),0.05,0.4,48,0.06,0.07000099875,0.1451486345,107051506.32
Mid-Market DL (£100M),0.05,0.4,49,0.06,0.08506215,0.605556672,111956809.72
Mid-Market DL (£100M),0.1,0.4,0,0.06,0.06751143075,0.2995532225,108545760.84
Mid-Market DL (£100M),0.1,0.4,1,0.06,-0.043282565,-0.520968062,98124668.08
Mid-Market DL (£100M),0.1,0.4,2,0.06,0.06988412625,0.0768611655,106366294.18
Mid-Market DL (£100M),0.1,0.4,3,0.06,0.09522408,0.401857738,110123058.98
Mid-Market DL (£100M),0.1,0.4,4,0.06,0.09223878,0.097842242,107023198.02
Mid-Market DL (£100M),0.1,0.4,5,0.06,0.02969114,-0.492736548,99866457.32
Mid-Market DL (£100M),0.1,0.4,6,0.06,0.073970685,-0.436202062,101317393.08
Mid-Market DL (£100M),0.1,0.4,7,0.06,0.08725911,-0.116147944,104783702.76
Mid-Market DL (£100M),0.1,0.4,8,0.06,-0.040627715,-0.520530412,98182141.58
Mid-Market DL (£100M),0.1,0.4,9,0.06,0.09159755,-0.192414042,104107810.58
Mid-Market DL (£100M),0.1,0.4,10,0.06,0.095505975,-0.202411794,104086001.56
